customer_id,Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8,Node9,Node10,Node11,Node12,Node13,Node14,Node15,customer_type,Node17,Node18,Node19,Node20,target_control,outcome,train_test
29,Value4,Value1,Value2,Value2,Value2,Value4,Value2,Value4,Value2,Value3,Value3,Value3,Value2,Value3,Value3,lost_cause,Value2,Value2,Value4,Value4,control,0,train
30,Value2,Value3,Value3,Value2,Value2,Value4,Value4,Value1,Value1,Value1,Value1,Value1,Value4,Value2,Value3,sleeping_dog,Value1,Value2,Value3,Value4,control,1,train
31,Value4,Value1,Value1,Value2,Value1,Value4,Value4,Value1,Value4,Value3,Value4,Value1,Value1,Value1,Value1,persuadable,Value2,Value3,Value4,Value2,control,0,train
32,Value2,Value1,Value1,Value2,Value3,Value1,Value2,Value3,Value3,Value3,Value3,Value1,Value3,Value3,Value1,sleeping_dog,Value4,Value4,Value3,Value4,control,1,train
33,Value2,Value3,Value2,Value2,Value2,Value1,Value1,Value1,Value3,Value4,Value2,Value3,Value4,Value4,Value3,lost_cause,Value4,Value4,Value1,Value2,target,0,train
34,Value4,Value1,Value4,Value2,Value4,Value3,Value4,Value3,Value1,Value1,Value3,Value4,Value2,Value1,Value1,persuadable,Value2,Value1,Value1,Value2,target,1,train
35,Value4,Value1,Value2,Value2,Value2,Value4,Value2,Value4,Value3,Value3,Value3,Value3,Value2,Value4,Value3,persuadable,Value4,Value4,Value4,Value2,target,1,train
36,Value1,Value1,Value2,Value2,Value2,Value2,Value4,Value3,Value1,Value3,Value1,Value2,Value1,Value1,Value3,lost_cause,Value3,Value2,Value3,Value2,control,0,train
37,Value4,Value1,Value1,Value2,Value2,Value1,Value2,Value2,Value3,Value3,Value1,Value3,Value3,Value2,Value2,persuadable,Value3,Value1,Value2,Value3,target,1,test
38,Value4,Value3,Value2,Value2,Value2,Value1,Value2,Value4,Value2,Value4,Value3,Value1,Value1,Value2,Value4,sleeping_dog,Value1,Value3,Value2,Value2,target,0,train
39,Value1,Value1,Value2,Value4,Value4,Value4,Value1,Value4,Value3,Value3,Value2,Value3,Value2,Value4,Value2,lost_cause,Value4,Value4,Value4,Value1,control,0,train
40,Value2,Value1,Value1,Value1,Value3,Value4,Value2,Value4,Value4,Value3,Value2,Value2,Value2,Value4,Value1,sure_thing,Value3,Value4,Value3,Value1,target,1,train
41,Value4,Value1,Value4,Value2,Value1,Value2,Value2,Value3,Value1,Value3,Value2,Value1,Value2,Value3,Value3,persuadable,Value1,Value2,Value2,Value1,control,0,train
42,Value2,Value3,Value4,Value4,Value1,Value4,Value1,Value1,Value3,Value3,Value3,Value3,Value2,Value2,Value1,sure_thing,Value1,Value2,Value3,Value4,target,1,train
43,Value4,Value1,Value2,Value2,Value2,Value1,Value1,Value3,Value2,Value3,Value3,Value1,Value3,Value3,Value2,persuadable,Value2,Value1,Value4,Value4,control,0,train
44,Value2,Value3,Value4,Value2,Value4,Value4,Value4,Value3,Value4,Value2,Value3,Value3,Value1,Value4,Value2,lost_cause,Value3,Value2,Value1,Value2,target,0,train
45,Value4,Value1,Value1,Value2,Value3,Value4,Value4,Value1,Value2,Value2,Value2,Value4,Value3,Value2,Value3,sure_thing,Value3,Value4,Value4,Value3,control,1,train
46,Value4,Value2,Value4,Value4,Value4,Value4,Value1,Value1,Value2,Value4,Value4,Value1,Value3,Value3,Value4,persuadable,Value1,Value4,Value4,Value4,control,0,test
47,Value2,Value3,Value2,Value4,Value1,Value2,Value4,Value3,Value2,Value3,Value3,Value3,Value4,Value3,Value4,lost_cause,Value1,Value4,Value2,Value4,target,0,test
48,Value2,Value1,Value1,Value2,Value2,Value1,Value4,Value1,Value2,Value3,Value2,Value3,Value2,Value4,Value3,sleeping_dog,Value4,Value1,Value3,Value4,control,1,test
49,Value4,Value3,Value2,Value2,Value4,Value2,Value2,Value4,Value2,Value1,Value3,Value4,Value1,Value3,Value2,sleeping_dog,Value4,Value2,Value1,Value3,control,1,train
50,Value4,Value1,Value2,Value2,Value2,Value4,Value1,Value3,Value3,Value2,Value3,Value1,Value4,Value3,Value3,sure_thing,Value2,Value3,Value3,Value4,control,1,train
51,Value4,Value2,Value2,Value2,Value4,Value2,Value1,Value3,Value2,Value2,Value1,Value4,Value1,Value4,Value1,lost_cause,Value1,Value4,Value3,Value3,control,0,train
52,Value3,Value1,Value1,Value2,Value1,Value2,Value2,Value4,Value4,Value3,Value2,Value1,Value3,Value4,Value1,sure_thing,Value1,Value1,Value2,Value3,control,1,test
53,Value4,Value3,Value2,Value2,Value4,Value2,Value2,Value2,Value2,Value3,Value2,Value1,Value3,Value1,Value3,sure_thing,Value2,Value4,Value3,Value4,control,1,test
54,Value3,Value1,Value2,Value2,Value1,Value4,Value4,Value2,Value3,Value1,Value4,Value1,Value3,Value1,Value3,lost_cause,Value1,Value1,Value2,Value4,target,0,test
55,Value4,Value2,Value3,Value2,Value2,Value4,Value2,Value4,Value2,Value1,Value4,Value2,Value2,Value3,Value2,lost_cause,Value2,Value3,Value4,Value4,control,0,train
56,Value1,Value1,Value1,Value3,Value1,Value2,Value4,Value3,Value1,Value4,Value1,Value4,Value2,Value1,Value1,persuadable,Value2,Value1,Value3,Value1,target,1,train
57,Value3,Value1,Value1,Value3,Value2,Value1,Value3,Value4,Value3,Value3,Value3,Value1,Value1,Value3,Value1,sure_thing,Value2,Value1,Value2,Value1,target,1,train
58,Value1,Value1,Value2,Value2,Value2,Value4,Value2,Value4,Value3,Value3,Value2,Value3,Value4,Value3,Value2,lost_cause,Value1,Value3,Value3,Value1,target,0,test
59,Value4,Value1,Value2,Value2,Value2,Value3,Value2,Value4,Value4,Value3,Value1,Value1,Value2,Value2,Value3,sure_thing,Value3,Value2,Value4,Value1,target,1,train
60,Value4,Value1,Value1,Value2,Value3,Value3,Value4,Value1,Value4,Value3,Value2,Value1,Value2,Value3,Value1,lost_cause,Value2,Value1,Value2,Value4,target,0,train
61,Value4,Value1,Value2,Value4,Value4,Value3,Value1,Value3,Value4,Value3,Value3,Value2,Value2,Value2,Value1,lost_cause,Value3,Value3,Value3,Value2,target,0,train
62,Value4,Value3,Value2,Value2,Value1,Value3,Value4,Value3,Value4,Value3,Value4,Value1,Value2,Value3,Value4,lost_cause,Value2,Value2,Value4,Value3,target,0,train
63,Value1,Value1,Value4,Value2,Value2,Value1,Value2,Value2,Value4,Value2,Value4,Value3,Value3,Value1,Value1,sure_thing,Value4,Value2,Value2,Value3,target,1,train
64,Value2,Value3,Value4,Value4,Value3,Value4,Value4,Value4,Value4,Value2,Value2,Value3,Value2,Value3,Value3,sleeping_dog,Value1,Value1,Value2,Value1,target,0,train
65,Value3,Value2,Value1,Value2,Value3,Value1,Value4,Value1,Value3,Value4,Value1,Value4,Value4,Value3,Value1,persuadable,Value3,Value1,Value2,Value2,target,1,test
66,Value4,Value3,Value4,Value3,Value3,Value4,Value2,Value4,Value2,Value3,Value3,Value3,Value1,Value3,Value1,persuadable,Value4,Value1,Value2,Value2,target,1,test
67,Value4,Value3,Value4,Value4,Value4,Value3,Value4,Value1,Value2,Value3,Value4,Value3,Value2,Value2,Value1,lost_cause,Value4,Value3,Value3,Value1,target,0,train
68,Value1,Value3,Value4,Value2,Value2,Value2,Value2,Value4,Value2,Value3,Value3,Value3,Value2,Value2,Value1,sleeping_dog,Value3,Value2,Value2,Value2,control,1,train
69,Value1,Value1,Value4,Value4,Value4,Value2,Value1,Value3,Value1,Value2,Value2,Value2,Value4,Value4,Value4,sure_thing,Value1,Value2,Value2,Value1,target,1,test
70,Value3,Value1,Value4,Value2,Value2,Value3,Value2,Value4,Value4,Value4,Value3,Value3,Value3,Value3,Value1,sure_thing,Value1,Value1,Value2,Value2,control,1,train
71,Value2,Value1,Value1,Value2,Value1,Value4,Value2,Value3,Value3,Value3,Value3,Value1,Value2,Value3,Value4,lost_cause,Value2,Value2,Value3,Value3,target,0,test
72,Value2,Value1,Value2,Value2,Value4,Value2,Value1,Value1,Value4,Value4,Value4,Value1,Value2,Value3,Value1,sure_thing,Value4,Value3,Value2,Value4,control,1,train
73,Value1,Value1,Value1,Value4,Value1,Value4,Value1,Value3,Value1,Value2,Value4,Value2,Value4,Value1,Value4,sleeping_dog,Value1,Value3,Value4,Value4,target,0,train
74,Value4,Value3,Value2,Value2,Value4,Value4,Value4,Value2,Value3,Value1,Value1,Value1,Value2,Value2,Value1,persuadable,Value4,Value4,Value2,Value1,target,1,train
75,Value2,Value3,Value2,Value2,Value2,Value1,Value4,Value3,Value2,Value4,Value2,Value4,Value1,Value2,Value2,lost_cause,Value3,Value4,Value1,Value3,control,0,train
76,Value4,Value3,Value4,Value4,Value3,Value2,Value4,Value3,Value2,Value1,Value2,Value2,Value4,Value3,Value4,persuadable,Value1,Value4,Value2,Value1,target,1,train
77,Value3,Value1,Value2,Value2,Value3,Value1,Value2,Value3,Value1,Value4,Value2,Value1,Value2,Value4,Value3,sleeping_dog,Value1,Value2,Value3,Value2,control,1,train
78,Value1,Value3,Value2,Value2,Value4,Value2,Value1,Value1,Value1,Value4,Value3,Value4,Value3,Value4,Value1,persuadable,Value4,Value4,Value4,Value1,target,1,train
79,Value1,Value1,Value1,Value2,Value3,Value4,Value2,Value3,Value1,Value2,Value2,Value3,Value4,Value4,Value1,sure_thing,Value4,Value3,Value3,Value1,target,1,test
80,Value1,Value2,Value1,Value2,Value4,Value2,Value1,Value2,Value1,Value4,Value1,Value4,Value3,Value2,Value1,sleeping_dog,Value2,Value4,Value1,Value1,target,0,train
81,Value3,Value1,Value1,Value2,Value3,Value4,Value4,Value1,Value4,Value3,Value2,Value1,Value1,Value2,Value2,sure_thing,Value2,Value2,Value2,Value3,control,1,train
82,Value4,Value2,Value1,Value2,Value4,Value2,Value1,Value2,Value2,Value2,Value1,Value4,Value4,Value4,Value2,lost_cause,Value2,Value1,Value3,Value1,control,0,train
83,Value2,Value2,Value4,Value3,Value4,Value1,Value2,Value2,Value2,Value3,Value2,Value3,Value3,Value1,Value2,persuadable,Value4,Value2,Value1,Value3,control,0,train
84,Value1,Value1,Value1,Value2,Value3,Value2,Value2,Value3,Value1,Value4,Value1,Value4,Value2,Value1,Value1,sure_thing,Value4,Value3,Value2,Value1,target,1,train
85,Value1,Value1,Value3,Value4,Value3,Value1,Value1,Value4,Value4,Value3,Value2,Value1,Value2,Value4,Value3,lost_cause,Value1,Value3,Value1,Value1,target,0,train
86,Value4,Value1,Value2,Value2,Value2,Value1,Value2,Value4,Value2,Value2,Value4,Value4,Value3,Value1,Value2,lost_cause,Value4,Value1,Value4,Value4,control,0,train
87,Value3,Value1,Value1,Value4,Value2,Value1,Value4,Value4,Value1,Value3,Value2,Value2,Value3,Value4,Value2,sure_thing,Value1,Value3,Value1,Value1,target,1,train
88,Value3,Value3,Value2,Value2,Value3,Value4,Value4,Value3,Value2,Value3,Value4,Value4,Value3,Value1,Value3,sleeping_dog,Value3,Value3,Value1,Value1,control,1,train
89,Value4,Value3,Value4,Value2,Value4,Value3,Value1,Value4,Value1,Value4,Value1,Value3,Value3,Value4,Value3,sure_thing,Value4,Value1,Value4,Value4,control,1,train
90,Value1,Value1,Value2,Value4,Value2,Value1,Value1,Value4,Value4,Value3,Value4,Value1,Value4,Value4,Value2,lost_cause,Value3,Value3,Value1,Value2,control,0,train
91,Value4,Value1,Value1,Value4,Value1,Value4,Value4,Value4,Value3,Value3,Value3,Value1,Value4,Value2,Value1,persuadable,Value3,Value3,Value4,Value4,control,0,train
92,Value4,Value1,Value3,Value2,Value2,Value4,Value2,Value4,Value3,Value3,Value2,Value3,Value4,Value2,Value2,lost_cause,Value2,Value1,Value2,Value1,target,0,train
93,Value4,Value3,Value2,Value2,Value2,Value1,Value2,Value4,Value2,Value2,Value1,Value2,Value3,Value4,Value4,sleeping_dog,Value1,Value3,Value3,Value4,target,0,train
94,Value2,Value1,Value1,Value2,Value2,Value1,Value4,Value1,Value1,Value3,Value1,Value3,Value3,Value4,Value3,sleeping_dog,Value3,Value4,Value2,Value4,control,1,train
95,Value4,Value1,Value1,Value2,Value3,Value4,Value2,Value2,Value2,Value1,Value2,Value1,Value4,Value4,Value2,sure_thing,Value1,Value2,Value2,Value2,target,1,train
96,Value1,Value3,Value4,Value2,Value1,Value4,Value2,Value2,Value4,Value3,Value1,Value2,Value2,Value2,Value3,persuadable,Value1,Value3,Value2,Value1,target,1,train
97,Value4,Value1,Value1,Value4,Value4,Value3,Value4,Value3,Value3,Value2,Value4,Value2,Value2,Value3,Value4,persuadable,Value4,Value4,Value1,Value4,target,1,test
98,Value4,Value1,Value1,Value2,Value4,Value4,Value1,Value1,Value2,Value3,Value3,Value3,Value3,Value3,Value4,sure_thing,Value3,Value4,Value3,Value4,target,1,train
99,Value3,Value1,Value1,Value4,Value2,Value4,Value1,Value1,Value3,Value3,Value3,Value2,Value4,Value2,Value2,sure_thing,Value4,Value4,Value3,Value4,target,1,train
100,Value2,Value1,Value4,Value2,Value2,Value1,Value4,Value3,Value3,Value3,Value3,Value3,Value3,Value4,Value2,lost_cause,Value4,Value4,Value4,Value4,target,0,train
101,Value4,Value1,Value3,Value2,Value2,Value2,Value2,Value2,Value1,Value3,Value4,Value4,Value4,Value1,Value3,sure_thing,Value2,Value2,Value2,Value2,target,1,train
102,Value3,Value2,Value1,Value4,Value4,Value2,Value4,Value2,Value1,Value4,Value3,Value3,Value3,Value3,Value1,sure_thing,Value2,Value2,Value2,Value2,control,1,train
103,Value4,Value3,Value2,Value2,Value1,Value4,Value2,Value4,Value2,Value3,Value4,Value3,Value3,Value1,Value1,lost_cause,Value1,Value4,Value4,Value1,target,0,train
104,Value4,Value1,Value2,Value2,Value4,Value2,Value2,Value4,Value4,Value3,Value3,Value1,Value4,Value4,Value4,persuadable,Value1,Value3,Value1,Value4,control,0,train
105,Value2,Value3,Value3,Value2,Value1,Value3,Value1,Value1,Value1,Value3,Value1,Value2,Value3,Value4,Value3,sleeping_dog,Value4,Value3,Value4,Value3,control,1,train
106,Value3,Value3,Value2,Value2,Value1,Value4,Value3,Value2,Value3,Value3,Value3,Value3,Value4,Value1,Value4,sure_thing,Value1,Value1,Value2,Value4,control,1,train
107,Value1,Value1,Value4,Value4,Value2,Value4,Value1,Value3,Value3,Value3,Value2,Value2,Value3,Value1,Value3,lost_cause,Value2,Value3,Value1,Value3,control,0,train
108,Value4,Value1,Value4,Value4,Value4,Value2,Value1,Value1,Value1,Value3,Value1,Value4,Value2,Value1,Value4,persuadable,Value1,Value2,Value1,Value1,target,1,train
109,Value1,Value1,Value4,Value2,Value1,Value4,Value4,Value4,Value4,Value4,Value3,Value2,Value2,Value3,Value4,sure_thing,Value1,Value4,Value3,Value2,control,1,train
110,Value3,Value1,Value1,Value4,Value2,Value4,Value4,Value1,Value1,Value4,Value2,Value3,Value3,Value3,Value3,sure_thing,Value4,Value2,Value3,Value3,target,1,train
111,Value4,Value1,Value1,Value2,Value4,Value2,Value4,Value1,Value2,Value3,Value2,Value3,Value3,Value1,Value1,lost_cause,Value4,Value4,Value3,Value1,control,0,train
112,Value4,Value1,Value4,Value4,Value2,Value4,Value1,Value3,Value2,Value4,Value3,Value1,Value1,Value2,Value4,lost_cause,Value2,Value3,Value4,Value1,control,0,test
113,Value2,Value3,Value2,Value2,Value2,Value1,Value2,Value4,Value2,Value4,Value2,Value4,Value2,Value4,Value4,lost_cause,Value1,Value1,Value3,Value3,control,0,train
114,Value2,Value1,Value2,Value3,Value1,Value2,Value2,Value4,Value2,Value2,Value3,Value1,Value3,Value3,Value1,persuadable,Value1,Value2,Value2,Value1,control,0,train
115,Value1,Value3,Value2,Value4,Value4,Value2,Value1,Value3,Value1,Value4,Value1,Value1,Value2,Value4,Value4,sleeping_dog,Value2,Value2,Value2,Value1,control,1,train
116,Value4,Value3,Value1,Value2,Value3,Value1,Value4,Value1,Value4,Value1,Value2,Value2,Value4,Value3,Value1,lost_cause,Value2,Value4,Value1,Value4,target,0,train
117,Value1,Value3,Value4,Value2,Value4,Value2,Value4,Value1,Value2,Value3,Value1,Value3,Value1,Value4,Value2,persuadable,Value1,Value2,Value1,Value2,control,0,train
118,Value4,Value1,Value2,Value2,Value2,Value1,Value2,Value4,Value2,Value4,Value4,Value1,Value4,Value4,Value3,persuadable,Value4,Value2,Value2,Value3,target,1,train
119,Value4,Value3,Value2,Value3,Value3,Value1,Value4,Value3,Value2,Value3,Value3,Value1,Value1,Value2,Value3,persuadable,Value2,Value2,Value2,Value1,target,1,train
120,Value4,Value3,Value2,Value2,Value3,Value4,Value2,Value4,Value2,Value3,Value3,Value3,Value1,Value1,Value1,persuadable,Value3,Value1,Value2,Value2,target,1,test
121,Value1,Value3,Value4,Value2,Value4,Value3,Value2,Value4,Value4,Value4,Value3,Value3,Value4,Value2,Value4,lost_cause,Value3,Value4,Value2,Value4,control,0,train
122,Value1,Value1,Value1,Value2,Value2,Value1,Value3,Value3,Value4,Value3,Value2,Value1,Value4,Value4,Value2,lost_cause,Value4,Value3,Value4,Value1,target,0,test
123,Value4,Value1,Value1,Value3,Value1,Value4,Value4,Value3,Value2,Value3,Value4,Value3,Value2,Value3,Value1,lost_cause,Value4,Value1,Value4,Value1,target,0,train
124,Value4,Value3,Value1,Value2,Value1,Value3,Value1,Value2,Value4,Value3,Value4,Value1,Value4,Value1,Value4,lost_cause,Value2,Value3,Value3,Value2,control,0,train
125,Value1,Value2,Value2,Value4,Value1,Value1,Value1,Value3,Value3,Value2,Value3,Value1,Value3,Value2,Value1,persuadable,Value1,Value4,Value3,Value1,target,1,test
126,Value3,Value1,Value4,Value4,Value2,Value1,Value1,Value1,Value3,Value4,Value2,Value3,Value2,Value4,Value4,persuadable,Value3,Value3,Value2,Value1,target,1,train
127,Value4,Value1,Value1,Value3,Value4,Value4,Value2,Value4,Value2,Value1,Value2,Value2,Value1,Value1,Value1,lost_cause,Value2,Value2,Value1,Value3,target,0,train
128,Value3,Value1,Value2,Value3,Value1,Value4,Value2,Value1,Value3,Value3,Value1,Value4,Value2,Value1,Value1,persuadable,Value1,Value2,Value2,Value1,target,1,test
129,Value4,Value3,Value1,Value4,Value1,Value4,Value1,Value2,Value2,Value4,Value1,Value4,Value3,Value3,Value4,persuadable,Value1,Value3,Value1,Value3,target,1,train
130,Value4,Value1,Value1,Value2,Value3,Value1,Value2,Value2,Value1,Value4,Value1,Value1,Value2,Value2,Value4,lost_cause,Value1,Value1,Value2,Value4,target,0,train
131,Value4,Value3,Value4,Value4,Value3,Value4,Value4,Value1,Value3,Value1,Value2,Value2,Value2,Value4,Value1,sleeping_dog,Value2,Value1,Value4,Value2,control,1,train
132,Value4,Value1,Value4,Value4,Value2,Value1,Value4,Value3,Value2,Value2,Value2,Value4,Value4,Value4,Value4,sleeping_dog,Value3,Value4,Value1,Value3,control,1,train
133,Value2,Value3,Value4,Value2,Value2,Value1,Value4,Value4,Value2,Value3,Value2,Value1,Value3,Value4,Value2,sure_thing,Value3,Value4,Value4,Value3,control,1,train
134,Value4,Value1,Value1,Value2,Value2,Value3,Value1,Value1,Value1,Value2,Value2,Value4,Value1,Value1,Value2,persuadable,Value4,Value3,Value3,Value2,control,0,train
135,Value1,Value1,Value1,Value2,Value3,Value3,Value4,Value1,Value3,Value3,Value4,Value3,Value2,Value3,Value4,persuadable,Value3,Value3,Value1,Value3,target,1,train
136,Value1,Value3,Value3,Value2,Value2,Value1,Value1,Value1,Value4,Value4,Value4,Value3,Value3,Value1,Value3,sleeping_dog,Value1,Value2,Value1,Value4,target,0,train
137,Value4,Value1,Value3,Value2,Value3,Value2,Value4,Value1,Value2,Value2,Value2,Value4,Value2,Value3,Value1,lost_cause,Value4,Value1,Value1,Value2,control,0,test
138,Value4,Value3,Value4,Value2,Value1,Value4,Value1,Value1,Value1,Value3,Value2,Value3,Value3,Value2,Value4,sleeping_dog,Value3,Value1,Value3,Value1,control,1,train
139,Value4,Value3,Value2,Value2,Value3,Value1,Value2,Value4,Value3,Value3,Value1,Value4,Value2,Value2,Value1,sleeping_dog,Value4,Value1,Value4,Value1,control,1,train
140,Value2,Value1,Value4,Value4,Value2,Value1,Value1,Value3,Value3,Value1,Value3,Value1,Value2,Value1,Value1,sleeping_dog,Value2,Value1,Value1,Value4,target,0,train
141,Value3,Value3,Value2,Value2,Value2,Value1,Value2,Value1,Value1,Value4,Value4,Value4,Value1,Value3,Value3,sure_thing,Value2,Value3,Value4,Value2,target,1,train
142,Value4,Value3,Value2,Value2,Value4,Value3,Value1,Value3,Value3,Value3,Value1,Value2,Value2,Value1,Value4,sure_thing,Value1,Value3,Value4,Value1,target,1,train
143,Value3,Value1,Value1,Value4,Value3,Value1,Value1,Value2,Value3,Value2,Value1,Value1,Value4,Value1,Value3,lost_cause,Value3,Value3,Value3,Value2,target,0,test
144,Value1,Value3,Value4,Value2,Value2,Value4,Value2,Value2,Value3,Value4,Value2,Value1,Value1,Value1,Value3,sleeping_dog,Value3,Value4,Value4,Value2,target,0,train
145,Value2,Value1,Value2,Value2,Value3,Value1,Value1,Value3,Value3,Value2,Value4,Value2,Value1,Value1,Value3,sure_thing,Value3,Value3,Value3,Value2,control,1,test
146,Value1,Value1,Value1,Value4,Value4,Value3,Value1,Value1,Value3,Value3,Value1,Value1,Value3,Value4,Value4,persuadable,Value3,Value3,Value4,Value1,target,1,train
147,Value3,Value1,Value1,Value4,Value4,Value4,Value1,Value1,Value3,Value1,Value1,Value1,Value3,Value4,Value3,sleeping_dog,Value3,Value2,Value1,Value4,target,0,train
148,Value4,Value1,Value3,Value4,Value3,Value1,Value1,Value4,Value2,Value3,Value3,Value3,Value2,Value2,Value3,lost_cause,Value2,Value1,Value2,Value4,target,0,test
149,Value4,Value1,Value4,Value4,Value2,Value1,Value1,Value1,Value1,Value3,Value1,Value2,Value2,Value1,Value3,sure_thing,Value1,Value4,Value4,Value1,target,1,train
150,Value4,Value3,Value4,Value4,Value3,Value4,Value4,Value3,Value3,Value1,Value1,Value1,Value3,Value2,Value4,sure_thing,Value1,Value4,Value2,Value4,target,1,train
151,Value4,Value1,Value2,Value4,Value4,Value1,Value4,Value3,Value2,Value4,Value1,Value1,Value2,Value4,Value4,lost_cause,Value3,Value3,Value3,Value1,target,0,train
152,Value2,Value1,Value1,Value4,Value3,Value1,Value4,Value1,Value3,Value4,Value4,Value1,Value3,Value1,Value3,persuadable,Value3,Value2,Value4,Value4,control,0,train
153,Value2,Value1,Value2,Value2,Value2,Value4,Value2,Value4,Value1,Value2,Value1,Value1,Value3,Value2,Value4,sure_thing,Value4,Value1,Value4,Value4,target,1,test
